Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Bevölkerung gesamt
"08222";"Mannheim, Stadtkreis";"Kreise";"307.997,00";"311.831,00"
"08225";"Neckar-Odenwald-Kreis";"Kreise";"143.376,00";"143.929,00"
"08226";"Rhein-Neckar-Kreis";"Kreise";"546.745,00";"549.030,00"
"08231";"Pforzheim, Stadtkreis";"Kreise";"124.289,00";"125.529,00"
"08235";"Calw";"Kreise";"157.424,00";"160.686,00"
"08236";"Enzkreis";"Kreise";"198.369,00";"200.237,00"
"08237";"Freudenstadt";"Kreise";"117.456,00";"119.183,00"
"08311";"Freiburg im Breisgau, Stadtkreis";"Kreise";"229.636,00";"231.848,00"
"08315";"Breisgau-Hochschwarzwald";"Kreise";"262.405,00";"265.792,00"
"08316";"Emmendingen";"Kreise";"164.712,00";"167.945,00"
"08317";"Ortenaukreis";"Kreise";"425.932,00";"434.535,00"
"08325";"Rottweil";"Kreise";"138.858,00";"140.446,00"
"08326";"Schwarzwald-Baar-Kreis";"Kreise";"211.207,00";"213.385,00"
"08327";"Tuttlingen";"Kreise";"139.397,00";"142.414,00"
"08335";"Konstanz";"Kreise";"284.015,00";"288.097,00"
"08336";"Lörrach";"Kreise";"228.314,00";"229.445,00"
"08337";"Waldshut";"Kreise";"170.198,00";"171.249,00"
"08415";"Reutlingen";"Kreise";"285.754,00";"288.158,00"
"08416";"Tübingen";"Kreise";"225.755,00";"229.806,00"
"08417";"Zollernalbkreis";"Kreise";"188.170,00";"190.545,00"
"08421";"Ulm, Stadtkreis";"Kreise";"125.596,00";"126.949,00"
"08425";"Alb-Donau-Kreis";"Kreise";"194.629,00";"199.732,00"
"08426";"Biberach";"Kreise";"198.265,00";"203.244,00"
"08435";"Bodenseekreis";"Kreise";"214.655,00";"218.885,00"
"08436";"Ravensburg";"Kreise";"283.264,00";"287.011,00"
"08437";"Sigmaringen";"Kreise";"130.192,00";"131.725,00"
"09161";"Ingolstadt";"Kreise";"135.244,00";"138.016,00"
"09162";"München, Landeshauptstadt";"Kreise";"1.456.039,00";"1.487.708,00"
"09163";"Rosenheim, Stadt";"Kreise";"63.080,00";"63.508,00"
"09171";"Altötting";"Kreise";"110.338,00";"112.116,00"
"09172";"Berchtesgadener Land";"Kreise";"105.052,00";"106.389,00"
"09173";"Bad Tölz-Wolfratshausen";"Kreise";"126.572,00";"127.919,00"
"09174";"Dachau";"Kreise";"152.703,00";"155.449,00"
"09175";"Ebersberg";"Kreise";"140.800,00";"144.562,00"
"09176";"Eichstätt";"Kreise";"131.646,00";"133.634,00"
"09177";"Erding";"Kreise";"136.884,00";"139.622,00"
"09178";"Freising";"Kreise";"177.997,00";"181.144,00"
"09179";"Fürstenfeldbruck";"Kreise";"217.831,00";"218.579,00"
"09180";"Garmisch-Partenkirchen";"Kreise";"88.155,00";"88.232,00"
"09181";"Landsberg am Lech";"Kreise";"119.141,00";"121.466,00"
"09182";"Miesbach";"Kreise";"99.189,00";"99.978,00"
"09183";"Mühldorf a.Inn";"Kreise";"114.486,00";"117.606,00"
"09184";"München";"Kreise";"346.433,00";"349.837,00"
"09185";"Neuburg-Schrobenhausen";"Kreise";"96.164,00";"98.503,00"
"09186";"Pfaffenhofen a.d.Ilm";"Kreise";"126.244,00";"129.772,00"
"09187";"Rosenheim";"Kreise";"259.449,00";"263.367,00"
"09188";"Starnberg";"Kreise";"135.545,00";"136.747,00"
"09189";"Traunstein";"Kreise";"176.290,00";"178.447,00"
"09190";"Weilheim-Schongau";"Kreise";"134.252,00";"136.642,00"
"09261";"Landshut, Stadt";"Kreise";"71.193,00";"73.150,00"
"09262";"Passau, Stadt";"Kreise";"51.781,00";"53.093,00"
"09263";"Straubing";"Kreise";"47.586,00";"47.854,00"
"09271";"Deggendorf";"Kreise";"118.741,00";"120.521,00"
"09272";"Freyung-Grafenau";"Kreise";"78.345,00";"78.632,00"
"09273";"Kelheim";"Kreise";"121.119,00";"123.899,00"
"09274";"Landshut";"Kreise";"157.239,00";"162.331,00"
"09275";"Passau";"Kreise";"190.504,00";"194.090,00"
"09276";"Regen";"Kreise";"77.489,00";"77.176,00"
"09277";"Rottal-Inn";"Kreise";"120.371,00";"122.252,00"
"09278";"Straubing-Bogen";"Kreise";"99.838,00";"102.398,00"
"09279";"Dingolfing-Landau";"Kreise";"95.831,00";"98.045,00"
"09361";"Amberg";"Kreise";"42.248,00";"41.994,00"
"09362";"Regensburg, Stadt";"Kreise";"150.894,00";"153.542,00"
"09363";"Weiden i.d.OPf.";"Kreise";"42.543,00";"42.472,00"
"09371";"Amberg-Sulzbach";"Kreise";"102.836,00";"103.277,00"
"09372";"Cham";"Kreise";"127.339,00";"128.444,00"
"09373";"Neumarkt i.d.OPf.";"Kreise";"132.644,00";"136.062,00"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"94.486,00";"94.838,00"
"09375";"Regensburg";"Kreise";"192.200,00";"195.225,00"
"09376";"Schwandorf";"Kreise";"146.487,00";"149.239,00"
"09377";"Tirschenreuth";"Kreise";"72.730,00";"71.648,00"
"09461";"Bamberg, Stadt";"Kreise";"77.179,00";"77.749,00"
"09462";"Bayreuth, Stadt";"Kreise";"73.999,00";"73.909,00"
"09463";"Coburg, Stadt";"Kreise";"41.236,00";"40.955,00"
"09464";"Hof, Stadt";"Kreise";"45.950,00";"45.125,00"
"09471";"Bamberg";"Kreise";"146.584,00";"147.697,00"
"09472";"Bayreuth";"Kreise";"103.805,00";"103.648,00"
"09473";"Coburg";"Kreise";"86.885,00";"86.544,00"
"09474";"Forchheim";"Kreise";"115.681,00";"116.753,00"
"09475";"Hof";"Kreise";"95.773,00";"93.907,00"
"09476";"Kronach";"Kreise";"67.474,00";"66.091,00"
"09477";"Kulmbach";"Kreise";"72.012,00";"71.328,00"
"09478";"Lichtenfels";"Kreise";"66.777,00";"66.741,00"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"73.485,00";"71.482,00"
"09561";"Ansbach, Stadt";"Kreise";"41.652,00";"41.662,00"
"09562";"Erlangen";"Kreise";"110.998,00";"113.292,00"
"09563";"Fürth, Stadt";"Kreise";"126.526,00";"129.122,00"
"09564";"Nürnberg";"Kreise";"515.201,00";"510.632,00"
"09565";"Schwabach";"Kreise";"40.781,00";"41.146,00"
"09571";"Ansbach";"Kreise";"183.256,00";"186.279,00"
"09572";"Erlangen-Höchstadt";"Kreise";"135.334,00";"139.323,00"
"09573";"Fürth";"Kreise";"116.193,00";"119.432,00"
"09574";"Nürnberger Land";"Kreise";"169.752,00";"171.424,00"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"99.641,00";"101.788,00"
"09576";"Roth";"Kreise";"126.101,00";"127.520,00"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"94.208,00";"95.523,00"
"09661";"Aschaffenburg, Stadt";"Kreise";"69.928,00";"71.381,00"
"09662";"Schweinfurt, Stadt";"Kreise";"53.437,00";"53.585,00"
"09663";"Würzburg, Stadt";"Kreise";"126.635,00";"126.933,00"
"09671";"Aschaffenburg";"Kreise";"173.969,00";"174.965,00"
"09672";"Bad Kissingen";"Kreise";"103.265,00";"103.454,00"
"09673";"Rhön-Grabfeld";"Kreise";"79.796,00";"79.376,00"
"09674";"Haßberge";"Kreise";"84.464,00";"84.284,00"
"09675";"Kitzingen";"Kreise";"90.429,00";"91.980,00"
"09676";"Miltenberg";"Kreise";"128.484,00";"128.782,00"
"09677";"Main-Spessart";"Kreise";"126.523,00";"126.105,00"
"09678";"Schweinfurt";"Kreise";"115.105,00";"116.134,00"
"09679";"Würzburg";"Kreise";"161.340,00";"163.534,00"
"09761";"Augsburg, Stadt";"Kreise";"292.851,00";"296.478,00"
"09762";"Kaufbeuren";"Kreise";"43.478,00";"45.118,00"
"09763";"Kempten (Allgäu)";"Kreise";"68.330,00";"69.053,00"
"09764";"Memmingen";"Kreise";"43.470,00";"44.721,00"
"09771";"Aichach-Friedberg";"Kreise";"132.596,00";"135.538,00"
"09772";"Augsburg";"Kreise";"249.838,00";"257.790,00"
"09773";"Dillingen a.d.Donau";"Kreise";"95.159,00";"97.985,00"
"09774";"Günzburg";"Kreise";"124.519,00";"128.436,00"
"09775";"Neu-Ulm";"Kreise";"172.546,00";"177.330,00"
"09776";"Lindau (Bodensee)";"Kreise";"81.148,00";"82.330,00"
"09777";"Ostallgäu";"Kreise";"139.278,00";"143.236,00"
"09778";"Unterallgäu";"Kreise";"142.544,00";"147.776,00"
"09779";"Donau-Ries";"Kreise";"133.043,00";"134.986,00"
"09780";"Oberallgäu";"Kreise";"154.568,00";"157.202,00"
"10041";"Regionalverband Saarbrücken";"Kreise";"330.150,00";"327.284,00"
"10042";"Merzig-Wadern";"Kreise";"103.656,00";"103.426,00"
"10043";"Neunkirchen";"Kreise";"133.297,00";"130.847,00"
"10044";"Saarlouis";"Kreise";"195.815,00";"193.661,00"
"10045";"Saarpfalz-Kreis";"Kreise";"143.402,00";"140.960,00"
"10046";"St. Wendel";"Kreise";"87.867,00";"86.170,00"
"11000";"Berlin, Stadt";"Kreise";"3.613.495,00";"3.677.472,00"
"12051";"Brandenburg an der Havel, Stadt";"Kreise";"71.886,00";"72.461,00"
"12052";"Cottbus, Stadt";"Kreise";"101.036,00";"98.359,00"
"12053";"Frankfurt (Oder), Stadt";"Kreise";"58.237,00";"56.679,00"
"12054";"Potsdam, Stadt";"Kreise";"175.710,00";"183.154,00"
"12060";"Barnim";"Kreise";"180.864,00";"188.835,00"
"12061";"Dahme-Spreewald";"Kreise";"167.319,00";"175.834,00"
"12062";"Elbe-Elster";"Kreise";"103.455,00";"100.317,00"
"12063";"Havelland";"Kreise";"160.710,00";"165.906,00"
"12064";"Märkisch-Oderland";"Kreise";"192.921,00";"197.965,00"
"12065";"Oberhavel";"Kreise";"209.893,00";"215.795,00"
"12066";"Oberspreewald-Lausitz";"Kreise";"111.122,00";"107.558,00"
"12067";"Oder-Spree";"Kreise";"178.347,00";"179.245,00"
"12068";"Ostprignitz-Ruppin";"Kreise";"99.368,00";"98.829,00"
"12069";"Potsdam-Mittelmark";"Kreise";"213.214,00";"219.521,00"
"12070";"Prignitz";"Kreise";"77.263,00";"75.574,00"
"12071";"Spree-Neiße";"Kreise";"115.456,00";"111.955,00"
"12072";"Teltow-Fläming";"Kreise";"166.890,00";"172.545,00"
"12073";"Uckermark";"Kreise";"120.349,00";"117.336,00"
"13003";"Rostock";"Kreise";"208.409,00";"208.400,00"
"13004";"Schwerin";"Kreise";"95.797,00";"95.740,00"
"13071";"Mecklenburgische Seenplatte";"Kreise";"260.574,00";"257.525,00"
"13072";"Landkreis Rostock";"Kreise";"214.635,00";"217.796,00"
"13073";"Vorpommern-Rügen";"Kreise";"225.123,00";"225.900,00"
"13074";"Nordwestmecklenburg";"Kreise";"156.993,00";"158.449,00"
"13075";"Vorpommern-Greifswald";"Kreise";"237.066,00";"235.451,00"
"13076";"Ludwigslust-Parchim";"Kreise";"212.522,00";"211.899,00"
"14511";"Chemnitz, Stadt";"Kreise";"246.855,00";"243.105,00"
"14521";"Erzgebirgskreis";"Kreise";"340.373,00";"328.695,00"
"14522";"Mittelsachsen";"Kreise";"308.153,00";"299.329,00"
"14523";"Vogtlandkreis";"Kreise";"229.584,00";"221.376,00"
"14524";"Zwickau";"Kreise";"319.988,00";"309.621,00"
"14612";"Dresden, Stadt";"Kreise";"551.072,00";"555.351,00"
"14625";"Bautzen";"Kreise";"302.634,00";"296.290,00"
"14626";"Görlitz";"Kreise";"256.587,00";"248.273,00"
"14627";"Meißen";"Kreise";"242.862,00";"239.344,00"
"14628";"Sächsische Schweiz-Osterzgebirge";"Kreise";"245.418,00";"244.009,00"
"14713";"Leipzig, Stadt";"Kreise";"581.980,00";"601.866,00"
"14729";"Leipzig";"Kreise";"258.008,00";"258.214,00"
"14730";"Nordsachsen";"Kreise";"197.794,00";"197.529,00"
"15001";"Dessau-Roßlau, Stadt";"Kreise";"82.111,00";"78.731,00"
"15002";"Halle (Saale), Stadt";"Kreise";"239.173,00";"238.061,00"
"15003";"Magdeburg, Landeshauptstadt";"Kreise";"238.478,00";"236.188,00"
"15081";"Altmarkkreis Salzwedel";"Kreise";"84.457,00";"81.986,00"
"15082";"Anhalt-Bitterfeld";"Kreise";"161.264,00";"155.900,00"
"15083";"Börde";"Kreise";"172.619,00";"170.106,00"
"15084";"Burgenlandkreis";"Kreise";"181.968,00";"176.333,00"
"15085";"Harz";"Kreise";"216.299,00";"209.117,00"
"15086";"Jerichower Land";"Kreise";"90.465,00";"89.118,00"
"15087";"Mansfeld-Südharz";"Kreise";"138.013,00";"132.317,00"
"15088";"Saalekreis";"Kreise";"185.494,00";"182.814,00"
"15089";"Salzlandkreis";"Kreise";"192.739,00";"185.495,00"
"15090";"Stendal";"Kreise";"113.186,00";"109.746,00"
"15091";"Wittenberg";"Kreise";"126.815,00";"123.341,00"
"16051";"Erfurt, Stadt";"Kreise";"212.988,00";"213.227,00"
"16052";"Gera, Stadt";"Kreise";"94.859,00";"91.368,00"
"16053";"Jena, Stadt";"Kreise";"111.099,00";"110.502,00"
"16054";"Suhl, Stadt";"Kreise";"37.343,00";"36.054,00"
"16055";"Weimar, Stadt";"Kreise";"64.426,00";"65.138,00"
"16061";"Eichsfeld";"Kreise";"100.645,00";"99.324,00"
"16062";"Nordhausen";"Kreise";"84.697,00";"81.687,00"
"16063";"Wartburgkreis";"Kreise";"162.761,00";"158.900,00"
"16064";"Unstrut-Hainich-Kreis";"Kreise";"103.504,00";"101.269,00"
"16065";"Kyffhäuserkreis";"Kreise";"75.818,00";"72.964,00"
"16066";"Schmalkalden-Meiningen";"Kreise";"126.665,00";"123.404,00"
"16067";"Gotha";"Kreise";"135.521,00";"133.825,00"
"16068";"Sömmerda";"Kreise";"70.027,00";"68.717,00"
"16069";"Hildburghausen";"Kreise";"63.923,00";"62.089,00"
"16070";"Ilm-Kreis";"Kreise";"106.653,00";"105.367,00"
"16071";"Weimarer Land";"Kreise";"82.131,00";"82.103,00"
"16072";"Sonneberg";"Kreise";"58.508,00";"56.504,00"
"16073";"Saalfeld-Rudolstadt";"Kreise";"105.221,00";"100.969,00"
"16074";"Saale-Holzland-Kreis";"Kreise";"82.990,00";"82.513,00"
"16075";"Saale-Orla-Kreis";"Kreise";"81.501,00";"79.030,00"
"16076";"Greiz";"Kreise";"99.275,00";"96.102,00"
"16077";"Altenburger Land";"Kreise";"90.650,00";"87.807,00"
